Country,Medal,Year,Count
FRA,Bronze,1896,2
FRA,Bronze,1900,82
FRA,Bronze,1906,28
FRA,Bronze,1908,23
FRA,Bronze,1912,5
FRA,Bronze,1920,57
FRA,Bronze,1924,32
FRA,Bronze,1928,14
FRA,Bronze,1932,6
FRA,Bronze,1936,19
FRA,Bronze,1948,26
FRA,Bronze,1952,18
FRA,Bronze,1956,13
FRA,Bronze,1960,8
FRA,Bronze,1964,17
FRA,Bronze,1968,12
FRA,Bronze,1972,17
FRA,Bronze,1976,9
FRA,Bronze,1980,7
FRA,Bronze,1984,33
FRA,Bronze,1988,14
FRA,Bronze,1992,44
FRA,Bronze,1994,10
FRA,Bronze,1996,20
FRA,Bronze,1998,12
FRA,Bronze,2000,14
FRA,Bronze,2002,5
FRA,Bronze,2004,22
FRA,Bronze,2006,10
FRA,Bronze,2008,28
FRA,Bronze,2010,6
FRA,Bronze,2012,22
FRA,Bronze,2014,10
FRA,Bronze,2016,21
FRA,Gold,1896,5
FRA,Gold,1900,52
FRA,Gold,1906,20
FRA,Gold,1908,12
FRA,Gold,1912,10
FRA,Gold,1920,13
FRA,Gold,1924,37
FRA,Gold,1928,14
FRA,Gold,1932,28
FRA,Gold,1936,13
FRA,Gold,1948,28
FRA,Gold,1952,14
FRA,Gold,1956,7
FRA,Gold,1960,1
FRA,Gold,1964,4
FRA,Gold,1968,16
FRA,Gold,1972,2
FRA,Gold,1976,5
FRA,Gold,1980,18
FRA,Gold,1984,20
FRA,Gold,1988,13
FRA,Gold,1992,14
FRA,Gold,1996,21
FRA,Gold,1998,2
FRA,Gold,2000,22
FRA,Gold,2002,5
FRA,Gold,2004,21
FRA,Gold,2006,3
FRA,Gold,2008,25
FRA,Gold,2010,2
FRA,Gold,2012,30
FRA,Gold,2014,4
FRA,Gold,2016,20
FRA,Silver,1896,4
FRA,Silver,1900,101
FRA,Silver,1904,2
FRA,Silver,1906,16
FRA,Silver,1908,5
FRA,Silver,1912,11
FRA,Silver,1920,71
FRA,Silver,1924,51
FRA,Silver,1928,24
FRA,Silver,1932,8
FRA,Silver,1936,13
FRA,Silver,1948,23
FRA,Silver,1952,9
FRA,Silver,1956,13
FRA,Silver,1960,6
FRA,Silver,1964,17
FRA,Silver,1968,8
FRA,Silver,1972,6
FRA,Silver,1976,7
FRA,Silver,1980,5
FRA,Silver,1984,17
FRA,Silver,1988,4
FRA,Silver,1992,11
FRA,Silver,1994,1
FRA,Silver,1996,10
FRA,Silver,1998,1
FRA,Silver,2000,30
FRA,Silver,2002,5
FRA,Silver,2004,10
FRA,Silver,2006,2
FRA,Silver,2008,24
FRA,Silver,2010,6
FRA,Silver,2012,30
FRA,Silver,2014,4
FRA,Silver,2016,55