Country,Medal,Year,Count
SUI,Bronze,1900,1
SUI,Bronze,1904,2
SUI,Bronze,1906,1
SUI,Bronze,1920,21
SUI,Bronze,1924,22
SUI,Bronze,1928,16
SUI,Bronze,1936,24
SUI,Bronze,1948,25
SUI,Bronze,1952,18
SUI,Bronze,1956,5
SUI,Bronze,1960,6
SUI,Bronze,1964,1
SUI,Bronze,1968,17
SUI,Bronze,1972,7
SUI,Bronze,1976,8
SUI,Bronze,1980,3
SUI,Bronze,1984,8
SUI,Bronze,1988,7
SUI,Bronze,1992,5
SUI,Bronze,1994,4
SUI,Bronze,1998,3
SUI,Bronze,2000,2
SUI,Bronze,2002,14
SUI,Bronze,2004,4
SUI,Bronze,2006,9
SUI,Bronze,2008,7
SUI,Bronze,2010,6
SUI,Bronze,2014,20
SUI,Bronze,2016,2
SUI,Gold,1896,1
SUI,Gold,1900,16
SUI,Gold,1904,1
SUI,Gold,1906,8
SUI,Gold,1912,2
SUI,Gold,1920,6
SUI,Gold,1924,22
SUI,Gold,1928,16
SUI,Gold,1936,9
SUI,Gold,1948,9
SUI,Gold,1952,2
SUI,Gold,1956,6
SUI,Gold,1960,2
SUI,Gold,1964,1
SUI,Gold,1972,7
SUI,Gold,1976,2
SUI,Gold,1980,4
SUI,Gold,1984,2
SUI,Gold,1988,8
SUI,Gold,1992,3
SUI,Gold,1994,4
SUI,Gold,1996,5
SUI,Gold,1998,6
SUI,Gold,2000,1
SUI,Gold,2002,3
SUI,Gold,2004,1
SUI,Gold,2006,5
SUI,Gold,2008,3
SUI,Gold,2010,6
SUI,Gold,2012,2
SUI,Gold,2014,6
SUI,Gold,2016,6
SUI,Silver,1896,2
SUI,Silver,1900,4
SUI,Silver,1906,3
SUI,Silver,1920,2
SUI,Silver,1924,25
SUI,Silver,1928,10
SUI,Silver,1932,3
SUI,Silver,1936,29
SUI,Silver,1948,30
SUI,Silver,1952,19
SUI,Silver,1956,2
SUI,Silver,1960,6
SUI,Silver,1964,4
SUI,Silver,1968,5
SUI,Silver,1972,11
SUI,Silver,1976,9
SUI,Silver,1980,4
SUI,Silver,1984,11
SUI,Silver,1988,13
SUI,Silver,1994,8
SUI,Silver,1996,6
SUI,Silver,1998,5
SUI,Silver,2000,11
SUI,Silver,2002,7
SUI,Silver,2004,2
SUI,Silver,2006,7
SUI,Silver,2008,1
SUI,Silver,2012,2
SUI,Silver,2014,4
SUI,Silver,2016,3